net.minecraft.util.Identifier|net.minecraft.resources.Identifier
Identifier.of(String,String)|Identifier.fromNamespaceAndPath
net.minecraft.recipe.book.RecipeBookCategory|net.minecraft.world.item.crafting.RecipeBookCategory
net.minecraft.registry.Registries|net.minecraft.core.registries.BuiltInRegistries
net.minecraft.registry.Registry|net.minecraft.core.Registry
net.minecraft.item.ItemStack|net.minecraft.world.item.ItemStack
screens|menu
net.minecraft.client.gui.screen.ingame.CraftingScreen|net.minecraft.client.gui.screens.inventory.CraftingScreen
DrawContext|GuiGraphicsExtractor
CharInput|CharacterEvent
net.minecraft.client.gui.screen.Screen|net.minecraft.client.gui.screens.Screen
screenHandler|AbstractContainerMenu
clientPlayerEntity|LocalPlayer
client.world|client.level/ ClientLevel
TextRenderer|Font
interactionManager|MultiPlayerGameMode
TextFieldWidget|EditBox
HandledScreen|AbstractContainerScreen
ContextParameterMap|net.minecraft.util.context.ContextMap
ContextType|ContextKeySet
itemstack.damage|damageValue
StackSlotDisplay|ItemStackSlotDisplay
NetworkRecipeId|RecipeDisplayId
SlotDisplay.StackSlotDisplay(ItemStack)|SlotDisplay.ItemStackSlotDisplay(ItemStackTemplate.fromNonEmptyStack(ItemStack))
interactionManager.clickSlot|handleContainerInput
SlotActionType|ContainerInput
Context|GuiGraphicsExtractor
render stack overlay|itemDecoration
Click|MouseButtonEvent
MouseInput|MouseButtonInfo
KeyInput|KeyEvent
world.getRegistryManager().getOptional(RegistryKeys.RECIPE_BOOK_CATEGORY)|BuiltInRegistries.RECIPE_BOOK_CATEGORY
ItemGroup|CreativeModeTab
getTranslationKey|getDescriptionId
InputUtil|InputConstants
Text|Component
DataComponentTypes|DataComponents
inventory|player.getInventory().getNonEquipmentItems()
world.registryManager|level.registryAccess
RegistryKeys|Registries
